season,kendall_tau,kendall_p,elimination_match,round_accuracy
1,0.6,0.1361111111111111,False,0.0
2,0.8666666666666666,0.00011518959435626102,False,0.5555555555555556
3,0.7454545454545454,0.000759529822029822,False,0.1
4,0.6363636363636364,0.005707170915504249,False,0.4
5,0.8181818181818181,4.4129288920955584e-05,False,0.09090909090909091
6,0.9393939393939392,3.2150205761316875e-07,False,0.7272727272727273
7,0.8974358974358972,5.508252036029814e-07,False,0.75
8,0.7435897435897434,0.00014526497165386054,False,0.16666666666666666
9,0.8166666666666667,5.508484318628168e-07,False,0.4666666666666667
10,0.8181818181818182,0.00013227513227513228,False,0.3
11,0.8484848484848484,1.6342325370103148e-05,False,0.45454545454545453
12,0.8181818181818182,0.00013227513227513228,False,0.4
13,0.6363636363636362,0.003181646992410881,False,0.36363636363636365
14,0.6969696969696969,0.0009744810873283095,False,0.18181818181818182
15,0.7179487179487178,0.00028397849578405134,False,0.25
16,0.8484848484848484,1.6342325370103148e-05,False,0.36363636363636365
17,0.7575757575757575,0.00024002425044091711,False,0.36363636363636365
18,0.909090909090909,1.4655483405483405e-06,False,0.5454545454545454
19,0.8205128205128204,1.346582943805166e-05,False,0.3333333333333333
20,0.7272727272727272,0.0004988835110362888,False,0.18181818181818182
21,0.8205128205128204,1.346582943805166e-05,False,0.25
22,0.8484848484848484,1.6342325370103148e-05,False,0.36363636363636365
23,0.8717948717948716,1.8079271551493775e-06,False,0.25
24,0.7272727272727272,0.0004988835110362888,False,0.2727272727272727
25,0.7948717948717947,3.1929233318122206e-05,False,0.5
26,0.911111111111111,2.9761904761904762e-05,False,0.6666666666666666
27,0.846153846153846,5.202487841376731e-06,False,0.3333333333333333
28,0.7575757575757575,0.00024002425044091711,False,0.36363636363636365
29,0.8666666666666667,1.5433964673382663e-07,False,0.2857142857142857
30,0.8476190476190477,4.0734605880108527e-07,False,0.2857142857142857
31,0.8333333333333333,2.4419372499316283e-07,False,0.2
32,0.7802197802197802,1.9192943300086156e-05,False,0.15384615384615385
33,0.7948717948717947,3.1929233318122206e-05,False,0.25
34,0.7802197802197802,1.9192943300086156e-05,False,0.23076923076923078
