season,tau,p_value,match
1,0.8666666666666666,0.016666666666666666,False
2,0.7333333333333333,0.002212852733686067,False
3,0.7090909090909091,0.0015912097162097162,False
4,0.5272727272727272,0.02638447971781305,False
5,0.8484848484848484,1.6342325370103148e-05,False
6,0.6363636363636362,0.003181646992410881,False
7,0.30769230769230765,0.16348723839175228,False
8,0.8205128205128204,1.346582943805166e-05,False
9,0.9333333333333332,3.558798821695647e-10,False
10,0.5636363636363636,0.016540504248837583,False
11,0.9696969696969696,5.010421677088344e-08,False
12,0.9272727272727274,3.2567740901074234e-06,False
13,0.8787878787878787,5.319397680508792e-06,False
14,0.8484848484848484,1.6342325370103148e-05,False
15,0.6410256410256409,0.0016162579704246372,False
16,0.606060606060606,0.005380307706696595,False
17,0.8484848484848484,1.6342325370103148e-05,False
18,0.8787878787878787,5.319397680508792e-06,False
19,0.8205128205128204,1.346582943805166e-05,False
20,0.5757575757575757,0.008757732750788306,False
21,0.9487179487179485,2.8906278906278905e-08,False
22,0.3636363636363636,0.11595087782587783,False
23,0.6410256410256409,0.0016162579704246372,False
24,0.7878787878787877,0.00010742344075677409,False
25,0.8974358974358972,5.508252036029814e-07,False
26,0.911111111111111,2.9761904761904762e-05,False
27,0.5897435897435896,0.0042892835687974576,False
28,0.5757575757575757,0.008757732750788306,False
29,0.961904761904762,1.8200249681731164e-10,False
30,0.8666666666666667,1.5433964673382663e-07,False
31,0.9166666666666666,1.3894896500716607e-09,False
32,0.8681318681318682,5.525916984250318e-07,False
33,0.9230769230769229,1.4164076664076665e-07,False
34,0.8901098901098902,1.809854240409796e-07,False
